pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Alkaloid biosynthesis II	5	9	0.0403327451475	E970,E258,E1021,E1988,E963	C06178,C12448/egme,C06178,C06178,C06178	1-Methylpyrrolinium$Ecgonine methyl ester; Methyl ecgonine/ecgonine methyl ester$1-Methylpyrrolinium$1-Methylpyrrolinium$1-Methylpyrrolinium
Histidine metabolism	19	51	0.0482312410722	E414,E1762,E1832,E2012,E1608,E1153,E1726,E2059,E1564,E491,E357,E2057,E915,E2205,E1576,E611,E1621,E1140,E1379	C00439,C03680,C03680,C05130,C00439,C00388,C00217/C05938/C00025,C00217/C05938/C00025,C00785,C05828,C05130,C05828,C00026,C05130,C06486/C00386,C05828,C06486/C00386,C00785,C02229/C01888/C05665	N-Formimino-L-glutamate; N-Formimidoyl-L-glutamate$4-Imidazolone-5-propanoate; 4-Imidazolone-5-propionic acid; 4,5-Dihydro-4-oxo-5-imidazolepropanoate$4-Imidazolone-5-propanoate; 4-Imidazolone-5-propionic acid; 4,5-Dihydro-4-oxo-5-imidazolepropanoate$Imidazole-4-acetaldehyde; Imidazole acetaldehyde$N-Formimino-L-glutamate; N-Formimidoyl-L-glutamate$1H-Imidazole-4-ethanamine; Histamine; 2-(4-Imidazolyl)ethylamine$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-4-Hydroxyglutamate semialdehyde/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-4-Hydroxyglutamate semialdehyde/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$Urocanate; Urocanic acid$Methylimidazoleacetic acid; Tele-methylimidazoleacetic acid; 1-Methyl-4-imidazoleacetic acid; 1-Methylimidazole-4-acetate; Methylimidazoleacetate$Imidazole-4-acetaldehyde; Imidazole acetaldehyde$Methylimidazoleacetic acid; Tele-methylimidazoleacetic acid; 1-Methyl-4-imidazoleacetic acid; 1-Methylimidazole-4-acetate; Methylimidazoleacetate$2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid$Imidazole-4-acetaldehyde; Imidazole acetaldehyde$(6R)-6-(L-erythro-1,2-Dihydroxypropyl)-5,6,7,8-tetrahydro-4a-/Carnosine; Nalpha-(beta-alanyl)-L-histidine$Methylimidazoleacetic acid; Tele-methylimidazoleacetic acid; 1-Methyl-4-imidazoleacetic acid; 1-Methylimidazole-4-acetate; Methylimidazoleacetate$(6R)-6-(L-erythro-1,2-Dihydroxypropyl)-5,6,7,8-tetrahydro-4a-/Carnosine; Nalpha-(beta-alanyl)-L-histidine$Urocanate; Urocanic acid$3-Aminopropanal/Aminoacetone; 1-Amino-2-propanone/beta-Aminopropion aldehyde
Biopterin metabolism	6	13	0.0614234097975	E582,E1337,E889,E2019,E460,E1110	,,CE2172,,,CE2172	$$$$$
Linoleate metabolism	11	29	0.0786488530376	E1640,E398,E1802,E785,E2022,E908,E1939,E1192,E1363,E721,E608	,,,,,,,,,,	$$$$$$$$$$
Pyrimidine metabolism	16	46	0.0915889421057	E1286,E1473,E1224,E1764,E1822,E89,E727,E1726,E2059,E219,E1430,E603,E775,E1099,E499,E1254	,,,,,,,C00217/C05938/C00025,C00217/C05938/C00025,,,,,,,	$$$$$$$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-4-Hydroxyglutamate semialdehyde/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-4-Hydroxyglutamate semialdehyde/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$$$$$$$
Aminosugars metabolism	9	24	0.0981430131922	E1286,E925,E2191,E137,E1726,E2059,E1597,E2089,E1099	,,,,C00217/C05938/C00025,C00217/C05938/C00025,,,	$$$$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-4-Hydroxyglutamate semialdehyde/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-4-Hydroxyglutamate semialdehyde/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$$$
Vitamin H (biotin) metabolism	3	6	0.102680447021	E1959,E815,E1541	,,	$$
Lipoate metabolism	3	6	0.102680447021	E1959,E815,E1541	,,	$$
Nitrogen metabolism	6	15	0.103016553231	E2059,E89,E1726,E1286,E1099,E1254	C00217/C05938/C00025,,C00217/C05938/C00025,,,	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-4-Hydroxyglutamate semialdehyde/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-4-Hydroxyglutamate semialdehyde/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$$$
Tyrosine metabolism	34	115	0.179312662801	E418,E122,E1013,E2059,E1175,E1942,E1490,E1286,E1690,E524,E117,E2019,E1255,E83,E1099,E354,E1644,E889,E1378,E725,E2009,E1380,E1110,E915,E766,E1645,E984,E1861,E1726,E1258,E1205,E490,E1170,E186	C00547,,C02735/C00483,C00217/C05938/C00025,C00547,C05588,C05588,,,,C05588,,C05581,,,C05589/C00788,C03758,CE2172,,,CE5538,CE5538,CE2172,C00026,CE5536,C05589/C00788,C02735/C00483,C05581,C00217/C05938/C00025,CE5536,C00547,C03758,,	L-Noradrenaline; Noradrenaline; Norepinephrine; Arterenol; 4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol$$Phenylethanolamine; 2-Amino-1-phenylethanol/Tyramine; 2-(p-Hydroxyphenyl)ethylamine$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-4-Hydroxyglutamate semialdehyde/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$L-Noradrenaline; Noradrenaline; Norepinephrine; Arterenol; 4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol$L-Metanephrine$L-Metanephrine$$$$L-Metanephrine$$3-Methoxy-4-hydroxyphenylacetaldehyde$$$L-Normetanephrine/L-Adrenaline; (R)-(-)-Adrenaline; (R)-(-)-Epinephrine; (R)-(-)-Epirenamine; (R)-(-)-Adnephrine; 4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol$Dopamine; 4-(2-Aminoethyl)-1,2-benzenediol; 4-(2-Aminoethyl)benzene-1,2-diol; 3,4-Dihydroxyphenethylamine; 2-(3,4-Dihydroxyphenyl)ethylamine$$$$noradrenochrome$noradrenochrome$$2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid$adrenochrome$L-Normetanephrine/L-Adrenaline; (R)-(-)-Adrenaline; (R)-(-)-Epinephrine; (R)-(-)-Epirenamine; (R)-(-)-Adnephrine; 4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol$Phenylethanolamine; 2-Amino-1-phenylethanol/Tyramine; 2-(p-Hydroxyphenyl)ethylamine$3-Methoxy-4-hydroxyphenylacetaldehyde$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-4-Hydroxyglutamate semialdehyde/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$adrenochrome$L-Noradrenaline; Noradrenaline; Norepinephrine; Arterenol; 4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol$Dopamine; 4-(2-Aminoethyl)-1,2-benzenediol; 4-(2-Aminoethyl)benzene-1,2-diol; 3,4-Dihydroxyphenethylamine; 2-(3,4-Dihydroxyphenyl)ethylamine$$
