SOURCE	TARGET	ENZYMES
C00025	C04076	1.5.1.9
C00025	C01879	;2.3.1.1;2.6.1.1;2.6.1.3;6.3.2.2;3.5.2.9
C00025	C00077	;6.3.5.5;2.6.1.13
C00025	C00079	;2.6.1.5;2.6.1.9;2.6.1.57;2.6.1.1
C00025	C02356	2.6.1.2
C00025	C00064	2.6.1.16;;6.3.5.3;6.3.5.2;6.3.5.5;6.3.5.4;6.3.4.2;2.4.2.14;3.5.1.38;6.3.1.2;3.5.1.2;6.3.5.1
C00025	C00334	4.1.1.19;4.1.1.15;2.6.1.19
C00025	C03284	2.6.1.22
C00025	C01165	;1.5.1.12;2.6.1.13
C00025	C03912	1.5.1.12;
C00025	C01602	2.6.1.13
C00025	C01205	2.6.1.40
C00064	C00079	;2.6.1.64
C04092	C03239	
C04092	C00408	;1.5.1.1;1.5.99.3;1.5.3.7;1.5.1.21
CE5820	C02238	3.4.19.6
C01165	C03912	1.5.1.12;
C01165	C01602	2.6.1.13
C01165	C00077	;2.6.1.13
C02946	C00334	3.5.1.63;1.2.1.3
C02946	C05936	3.5.1.63;1.2.1.3;1.4.3.4
C04076	C00450	1.2.1.31;1.5.1.9;1.14.17.1;1.5.99.3;1.5.3.7
C05588	C00788	2.1.1.6;1.4.3.4
C05588	C05589	2.1.1.6;1.4.3.4
C05588	C00780	1.4.3.4
C05588	C05332	1.4.3.4
C05588	C05587	2.1.1.6;1.4.3.4
C05588	C02714	1.4.3.4
C05588	C00483	2.1.1.6;1.4.3.4
C05588	C00547	2.1.1.6;1.4.3.4
C05588	C01888	1.4.3.4
C05588	C05936	1.4.3.4
C00437	C01602	3.5.1.16
C00437	C00077	3.5.1.14;3.5.1.16
C02735	C00788	2.1.1.28
C02735	C00547	2.1.1.28
C03239	C00047	;1.4.3.14
C05332	C00788	1.4.3.6;1.4.3.4
C05332	C00079	4.1.1.28;4.1.1.53
C05332	C00780	4.1.1.28;1.4.3.4
C05332	C05587	1.4.3.4
C05332	C02714	1.4.3.4
C05332	C00483	4.1.1.28;1.4.3.6;1.4.3.4
C05332	C05589	1.4.3.4
C05332	C00547	1.4.3.4
C05332	C01888	1.4.3.6;1.4.3.4
C05332	C05936	1.4.3.4
C05587	C00788	2.8.2.1;2.1.1.6;1.4.3.4
C05587	C05589	2.1.1.6;1.4.3.4
C05587	C00780	1.4.3.4
C05587	C02714	1.4.3.4
C05587	C00483	2.8.2.1;2.1.1.6;1.4.3.4
C05587	C00547	2.8.2.1;2.1.1.6;1.4.3.4
C05587	C01888	1.4.3.4
C05587	C05936	1.4.3.4
C01888	C05589	1.4.3.4
C01888	C00780	;1.4.3.4
C01888	C00483	1.4.3.6;1.4.3.4
C01888	C00788	;1.4.3.6;1.4.3.4
C01888	C00547	;1.4.3.4
C01888	C02714	1.4.3.4
C01888	C05936	1.4.3.4
C00450	C00408	1.5.99.3;1.5.3.7
C02714	C00788	1.4.3.4
C02714	C05589	1.4.3.4
C02714	C00780	1.4.3.4
C02714	C00483	1.4.3.4
C02714	C00547	1.4.3.4
C02714	C05936	1.4.3.4
C00788	C05589	2.1.1.6;1.4.3.4
C00788	C00780	;1.4.3.4
C00788	C00483	2.1.1.6;2.8.2.1;1.4.3.6;1.4.3.4
C00788	C00547	;2.1.1.28;2.8.2.1;2.1.1.6;1.4.3.4
C00788	C05936	1.4.3.4
C00078	C00780	;1.13.11.52;1.14.16.4;3.5.1.9;4.1.1.28
C00078	C00525	;1.13.11.52;1.14.16.4;3.5.1.9;4.1.1.28
C00078	C00079	;1.4.3.2;4.1.1.28
C01035	C00077	2.1.4.1
C01035	C00334	4.1.1.19;3.5.1.63;2.1.4.1;4.1.1.15;2.6.1.19;1.2.1.19;1.2.1.3;3.5.1.4
C05938	C04281	1.5.1.12;
C05938	C03912	1.5.1.12;;1.5.99.8
C00077	C00334	2.1.4.1
C00334	C00555	1.2.1.19;1.2.1.3
C05589	C00780	1.4.3.4
C05589	C00483	2.1.1.6;1.4.3.4
C05589	C00547	2.1.1.6;1.4.3.4
C05589	C05936	1.4.3.4
C02356	C02238	2.3.2.4;3.4.19.6;2.6.1.2
C04281	C01157	1.5.1.12;;1.5.1.2
C00525	C00780	;1.14.14.1;1.4.3.4;1.13.11.52;2.1.1.49;2.3.1.87;2.1.1.4;1.14.16.4;3.5.1.9;4.1.1.28
C00483	C00780	4.1.1.28;2.1.1.49;1.14.14.1;1.4.3.4
C00483	C00547	2.8.2.1;2.1.1.6;1.4.3.4
C00483	C05936	1.4.3.4
C00780	C00547	;1.4.3.4
C00780	C05936	1.4.3.4
C00547	C05936	1.4.3.4
