massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	213.022216509	11.9045225929	9.08241142303e-66	-66.9963328135	1517
row2	832.583993588	3.16211050086	7.7579930526e-58	-51.7197524999	3022
row3	101.070954399	11.9299788793	1.77225164033e-17	-12.3758771662	101
row4	203.052382355	12.0510386192	6.47197773516e-16	11.437509131	1401
row5	809.587544759	3.18516886424	1.15173934116e-12	-9.63478702259	2987
row6	808.583447081	3.16916865472	5.57573875758e-11	-8.70419911554	2985
row7	147.076407483	11.9052137761	6.46594546667e-11	-8.63518278023	613
row8	148.079706584	11.9035780899	1.10239272957e-10	-8.48291861074	634
row9	807.572096854	3.18234872493	1.74645357211e-10	-8.35102186504	2982
row10	149.080662489	11.907904573	2.19552462232e-10	-8.27473893788	659
row11	766.573801676	3.19284546459	6.12931349385e-10	-8.01851066514	2912
row12	280.235072703	3.07718842405	7.20894738657e-10	7.96154448777	2175
row13	811.604003906	3.16644759667	8.32563771977e-10	-7.91031720655	2990
row14	787.665916111	3.99347800836	1.0225109621e-09	-7.84635989648	2947
row15	783.572179769	3.20446706848	1.32255706531e-09	-7.77167941757	2937
row16	806.568784902	3.17983498468	4.06736270042e-09	-7.49926829102	2980
row17	468.308435777	3.97057929749	6.07387164607e-09	-7.39313949175	2664
row18	904.590341319	2.99671849663	8.06074991198e-09	-7.31481526733	3108
row19	148.073457562	11.9153768782	8.28640762014e-09	-7.29599279953	633
row20	810.600011324	3.17127473078	1.03611609343e-08	-7.23262995371	2989
row21	782.568738435	3.20423622099	1.20347613872e-08	-7.18679549288	2936
row22	794.605079309	3.17332267539	2.08782083152e-08	-7.04859400785	2960
row23	169.058368482	11.8970382726	4.06727691492e-08	-6.88345545439	926
row24	836.61396445	3.15612647393	6.14116245923e-08	-6.77753096219	3027
row25	171.076423143	11.8927992204	1.12469843753e-07	-6.62644997808	951
row26	172.079715154	11.8965491849	1.29258965067e-07	-6.58460185769	967
row27	784.58405063	3.19567541081	1.50867436236e-07	-6.53093413544	2938
row28	812.614479065	3.17385424764	1.50867436236e-07	-6.53085439702	2992
row29	236.072804482	11.8556404	1.62252709817e-07	6.50547304017	1796
row30	380.255810738	6.71370195684	1.69375311421e-07	-6.48736891264	2549
row31	126.021980687	12.2095355114	2.5919439801e-07	-6.37917842169	324
row32	785.58795166	3.20243380523	2.88729541853e-07	-6.34611457677	2939
row33	166.053307483	10.8401456842	3.48276009725e-07	6.29434981485	893
row34	131.053271143	11.887341208	4.22950874309e-07	-6.23542334333	397
row35	258.110001815	11.3506158706	4.22950874309e-07	-6.23418525579	1993
row36	235.080415569	11.8522790908	4.65723146456e-07	6.20453141063	1784
row37	769.59261213	3.18809564857	4.85101092627e-07	-6.1882799615	2918
row38	153.09107381	4.36395956146	5.83461735411e-07	-6.137829678	708
row39	130.049926557	11.8902778269	8.57811532788e-07	-6.0392603427	365
row40	834.600056171	3.15696281694	9.15905808542e-07	-6.01742931281	3025
row41	768.58904444	3.19569675016	9.2906418798e-07	-6.00806048225	2915
row42	133.060775054	10.333907315	1.43950981664e-06	5.89661472433	425
row43	813.620170711	3.16735507302	2.09148292615e-06	-5.80028641821	2995
row44	835.60336156	3.15812566737	2.39663532659e-06	-5.76152580657	3026
row45	815.696910801	3.3167827055	2.44600597551e-06	-5.75107378402	2999
row46	217.107140165	3.71855200692	2.63985027652e-06	-5.72709330146	1580
row47	170.061675541	11.9024925551	2.9591361026e-06	-5.69391886762	940
row48	814.626237401	3.15290002607	5.40228549471e-06	-5.54072378423	2997
row49	742.573997716	3.2101628472	6.84327249121e-06	-5.47706664027	2875
row50	795.608786843	3.170420734	7.57465954298e-06	-5.44682313258	2961
row51	521.343375004	3.78543139446	8.14384879206e-06	-5.42386295606	2722
row52	796.619432449	3.17772906877	9.53477213289e-06	-5.37968402883	2963
row53	469.311962206	3.97422789495	1.52108567025e-05	-5.257689367	2666
row54	494.324076189	3.86492462771	1.58974525791e-05	-5.24183724066	2693
